,season_x,name,position,fixture,ict_index,opponent_team,opp_team_name,selected,total_points,value,was_home,GW,creativity,influence,threat,transfers_in,transfers_out,fixture,goals_conceded,minutes
989,2016-17,Shane Long,FWD,128,0,6,Everton,131754,1,61,TRUE,13,0,0,0,811,1398,128,0,2
999,2016-17,Troy Deeney,FWD,130,5.1,14,Stoke,267210,2,70,TRUE,13,22.5,8.2,20,15921,14291,130,1,90
1024,2016-17,Andre Gray,FWD,136,6.4,14,Stoke,115340,2,62,FALSE,14,13.3,3.4,47,221,4114,136,2,90
1026,2016-17,Andy Carroll,FWD,140,5,1,Arsenal,54352,5,61,TRUE,14,0,33,17,841,326,140,3,18
1028,2016-17,Anthony Martial,FWD,133,9,6,Everton,110326,6,93,FALSE,14,32.3,25.2,32,1353,1107,133,0,82
1030,2016-17,Ashley Barnes,FWD,136,7,14,Stoke,37743,1,44,FALSE,14,22.4,10.2,37,5768,4954,136,2,90
1031,2016-17,Ashley Fletcher,FWD,140,4.7,1,Arsenal,6368,1,50,TRUE,14,19.4,3.6,24,614,405,140,5,90
1041,2016-17,Callum Wilson,FWD,131,8,9,Liverpool,118777,6,64,TRUE,14,11.6,39.2,29,3701,10371,131,3,90
1044,2016-17,Charlie Austin,FWD,132,6.2,5,Crystal Palace,714551,1,69,FALSE,14,23.1,3.6,35,104204,18495,132,2,75
1046,2016-17,Christian Benteke,FWD,132,15.6,13,Southampton,257534,12,75,TRUE,14,5.8,67.8,82,14205,14402,132,0,90
1052,2016-17,Connor Wickham,FWD,132,0,13,Southampton,16310,0,56,TRUE,14,0,0,0,195,3496,132,0,0
1059,2016-17,Danny Ings,FWD,131,0,2,Bournemouth,10400,0,55,FALSE,14,0,0,0,21,214,131,0,0
1061,2016-17,Danny Welbeck,FWD,140,0,20,West Ham,3300,0,74,FALSE,14,0,0,0,45,69,140,0,0
1068,2016-17,Divock Origi,FWD,131,6.9,2,Bournemouth,94736,6,65,FALSE,14,14.8,31.4,23,26108,952,131,4,90
1069,2016-17,Dominic Calvert-Lewin,FWD,133,0,11,Man Utd,858,0,45,TRUE,14,0,0,0,104,110,133,0,0
1083,2016-17,Hal Robson-Kanu,FWD,139,0.1,18,Watford,9004,1,50,TRUE,14,1.4,0,0,527,1041,139,0,3
1085,2016-17,Harry Kane,FWD,138,21.4,16,Swansea,439528,13,109,TRUE,14,24.9,80.6,108,150015,4964,138,0,86
1092,2016-17,Islam Slimani,FWD,137,5.1,15,Sunderland,37647,2,83,FALSE,14,18.8,0,35,2905,2084,137,1,67
1104,2016-17,Jamie Vardy,FWD,137,1.2,15,Sunderland,375087,2,96,FALSE,14,4.2,0,12,2702,15500,137,2,90
1107,2016-17,Jay Rodriguez,FWD,132,0,5,Crystal Palace,7532,0,63,FALSE,14,0,0,0,51,97,132,0,0
1121,2016-17,Joshua King,FWD,131,2.1,9,Liverpool,30621,1,54,TRUE,14,12.1,4.6,4,508,1807,131,2,45
1124,2016-17,Kelechi Iheanacho,FWD,134,0.7,4,Chelsea,120970,1,66,TRUE,14,0.3,0,12,662,17950,134,1,13
1134,2016-17,Lys Mousset,FWD,131,0,9,Liverpool,2339,0,52,TRUE,14,0,0,0,57,71,131,0,0
1144,2016-17,Matej Vydra,FWD,139,0,19,West Brom,15280,0,45,FALSE,14,0,0,0,19,356,139,0,0
1150,2016-17,Michail Antonio,FWD,140,0,1,Arsenal,337729,0,68,TRUE,14,0,0,0,10221,63281,140,0,0
1151,2016-17,Michy Batshuayi,FWD,134,0,10,Man City,42014,1,85,FALSE,14,0,0,0,76,701,134,0,1
1163,2016-17,Odion Ighalo,FWD,139,3.1,19,West Brom,139513,1,70,FALSE,14,0.4,1.2,29,472,6362,139,1,14
1166,2016-17,Oliver McBurnie,FWD,138,0,17,Spurs,3649,0,45,FALSE,14,0,0,0,113,219,138,0,0
1167,2016-17,Olivier Giroud,FWD,140,0,20,West Ham,74460,0,88,FALSE,14,0,0,0,3821,39937,140,0,0
1169,2016-17,Patrick Bamford,FWD,136,0,14,Stoke,1956,0,50,FALSE,14,0,0,0,48,144,136,0,0
1180,2016-17,Roberto Firmino,FWD,131,4,2,Bournemouth,771840,2,88,FALSE,14,15.1,1.6,23,78058,97113,131,4,90
1183,2016-17,Romelu Lukaku,FWD,133,2.7,11,Man Utd,1156897,1,95,TRUE,14,13.9,9.2,4,9371,231586,133,1,90
1189,2016-17,Salomón Rondón,FWD,139,1.8,18,Watford,219938,2,66,TRUE,14,3.6,0,16,8533,37363,139,1,87
1194,2016-17,Sergio Agüero,FWD,134,8.6,4,Chelsea,1841687,-1,131,TRUE,14,3.8,0,83,55067,26292,134,3,90
1196,2016-17,Shane Long,FWD,132,2.3,5,Crystal Palace,130726,1,61,FALSE,14,0.6,3.2,19,622,1862,132,1,15
1206,2016-17,Troy Deeney,FWD,139,10.9,19,West Brom,231133,4,69,FALSE,14,31.6,30.8,47,2969,39576,139,3,90
1231,2016-17,Andre Gray,FWD,142,6.8,2,Bournemouth,114279,4,61,TRUE,15,10.8,21.4,36,1111,2289,142,1,36
1233,2016-17,Andy Carroll,FWD,146,0.7,9,Liverpool,61959,1,61,FALSE,15,1.5,3.8,2,7815,560,146,0,28
1235,2016-17,Anthony Martial,FWD,149,2.2,17,Spurs,110045,3,93,TRUE,15,4.3,0,18,677,1236,149,0,71
1237,2016-17,Ashley Barnes,FWD,142,2.3,2,Bournemouth,43567,1,44,TRUE,15,10.8,0,13,9201,4493,142,1,36
1238,2016-17,Ashley Fletcher,FWD,146,0,9,Liverpool,7222,0,50,FALSE,15,0,0,0,1136,513,146,0,0
1248,2016-17,Callum Wilson,FWD,142,0,3,Burnley,158547,1,64,FALSE,15,1.9,0,2,44446,5579,142,2,58
1251,2016-17,Charlie Austin,FWD,150,0,12,Middlesbrough,479333,0,68,TRUE,15,0,0,0,45759,283009,150,0,0
1253,2016-17,Christian Benteke,FWD,144,6.6,7,Hull,408228,6,76,FALSE,15,2.8,34,29,151720,6080,144,3,90
