,season_x,name,position,fixture,ict_index,opponent_team,opp_team_name,selected,total_points,value,was_home,GW,creativity,influence,threat,transfers_in,transfers_out,goals_conceded,minutes,goals_conceded_per_game,points_per_game,total_minutes
102,2016-17,Patrick Bamford,FWD,33,0.03162055335968379,7,Hull,817,1,50,True,4,0.02862595419847328,0.0,0.058394160583941604,755,184,1,11,0.0,0.0,0
103,2016-17,Jay Rodriguez,FWD,31,0.03162055335968379,1,Arsenal,15012,1,64,False,4,0.05534351145038168,0.0,0.043795620437956206,2426,1425,1,45,0.0,4.5,0
104,2016-17,Connor Wickham,FWD,36,0.0,12,Middlesbrough,27786,0,58,False,4,0.0,0.0,0.0,1273,8043,0,0,1.1020408163265305,2.0,245
105,2016-17,Andre Gray,FWD,33,0.10671936758893281,7,Hull,403751,2,65,True,4,0.2251908396946565,0.0,0.11678832116788321,53538,57479,0,79,1.3333333333333333,4.666666666666667,270
106,2016-17,Jamie Vardy,FWD,34,0.43478260869565216,9,Liverpool,673387,6,99,False,4,0.13931297709923665,0.4019230769230769,0.44525547445255476,58078,51414,4,90,1.0,4.0,274
107,2016-17,Andy Carroll,FWD,38,0.0,18,Watford,80219,0,63,True,4,0.0,0.0,0.0,214,40874,0,0,2.0,2.0,90
108,2016-17,Anthony Martial,FWD,35,0.03162055335968379,10,Man City,258098,1,95,True,4,0.009541984732824428,0.009615384615384616,0.043795620437956206,4692,72890,0,10,0.4017857142857143,5.0,224
109,2016-17,Ashley Barnes,FWD,33,0.0,7,Hull,3241,0,45,True,4,0.0,0.0,0.0,157,529,0,0,0.0,0.0,0
110,2016-17,Ashley Fletcher,FWD,38,0.0,18,Watford,3185,1,50,True,4,0.0,0.0,0.0,1744,594,0,14,2.6732673267326734,1.0,101
111,2016-17,Charlie Austin,FWD,31,0.0,1,Arsenal,30519,0,62,False,4,0.0,0.0,0.0,1263,7713,0,0,0.0,1.3333333333333333,105
112,2016-17,Christian Benteke,FWD,36,0.38339920948616596,12,Middlesbrough,166496,7,75,False,4,0.36450381679389315,0.33076923076923076,0.31386861313868614,65964,23784,1,83,0.0,2.0,0
113,2016-17,Callum Wilson,FWD,32,0.47035573122529645,19,West Brom,77640,6,64,True,4,0.4637404580152672,0.375,0.40875912408759124,6277,15000,0,90,1.2857142857142856,2.0,210
114,2016-17,Danny Ings,FWD,34,0.0,8,Leicester,14240,0,57,True,4,0.0,0.0,0.0,404,3068,0,0,0.0,0.0,0
115,2016-17,Danny Welbeck,FWD,31,0.0,13,Southampton,2937,0,74,True,4,0.0,0.0,0.0,111,385,0,0,0.0,0.0,0
116,2016-17,Divock Origi,FWD,34,0.0,8,Leicester,108015,0,68,True,4,0.0,0.0,0.0,2615,22295,0,0,1.4285714285714286,1.0,63
117,2016-17,Hal Robson-Kanu,FWD,32,0.0,2,Bournemouth,2967,0,50,False,4,0.0,0.0,0.0,3442,1240,0,0,0.0,0.0,0
118,2016-17,Harry Kane,FWD,37,0.3873517786561265,14,Stoke,534669,6,109,False,4,0.11068702290076336,0.40384615384615385,0.36496350364963503,81771,73262,0,72,0.6896551724137931,3.0,261
119,2016-17,Islam Slimani,FWD,34,0.0,9,Liverpool,8686,0,85,False,4,0.0,0.0,0.0,8709,1627,0,0,0.0,0.0,0
120,2016-17,Oliver McBurnie,FWD,48,0.0,13,Southampton,2920,0,45,False,5,0.0,0.0,0.0,529,403,0,0,0.0,1.0,5
